comment,comment_length
"Dana MBG 235 trilyun setahun. Itu lebih dari cukup untuk membangun kereta api cepat jakarta surabaya. 235 trilyun X 5 prabowo menjabat. 235 X 5=1,175 trilyun. uang sebesar itu sangat lebih dari cukup untuk membangun kereta api cepat jakarta- Banda Aceh.tol trans sumatra.bahkan jembatan selat sunda.",299
Gak jalan 😂 sama kayak hambalang,32
Ahy mendukung wosh sama saja membunuh mengurangi penduduknya di masyarakat Karena wosh proyek kurang layak.masih banyak daerah di Indonesia yang lebih layak dibangun rete kereta.,178
Kemampuan menteri dan era kepemimpinan sekarang saya rasa gak akan memiliki kemampuan mewujudkannya,99
Ga bakal jadi klo AHY yg urus infrastruktur. Dia takut.,55
"😂😂😂😂😂😂😂 halah bos ojo halu teko surabaya ae urung kok sak iki ko banyuwangi ,realisasi sik ko semarang opo ko surabaya lah",122
Jawa mulu pemerataan ekonomi tahi kuching.  Ada noh sejak jaman van den bosch sampai sekarang gak dibangun kereta api,117
Utang udah numpuk mau ngutang lagi ini anak ingusan.,52
Duit gede lagiiiii,18
Boleh itu,9
Keren..,7
Jangan pakai APBN intinya itu aja,33
Siap Mas AHY!👋<br>Kereta cepat Jakarta - Banyuwangi sangatlah panjang.😊<br>Butuh duit Triliunan utk membangun jalur relnya.🤑<br>🇲🇨🇲🇨🇲🇨🇲🇨🇲🇨🇲🇨🇲🇨🇲🇨🇲🇨🇲🇨🇲🇨,150
Wacana Mulu. Sekelas tol trans Sumatera saja belum ada proyek baru,66
Jangan pakek kereta cepat buatan China merugikan Indonesia,58
Sangat setuju..asalkan murni investasi swasta..makanya hrs segera dcari formulanya spy investor tertarik utk tanamkan investasinya..,132
Lanjutkan sampai banyuwangi,27
Ide gila. Apbn sdh punya kecendrungan jebol muncul lagi ide gila gini. Pantas moody. Fitch. Bilang arah pembangunan pemerintah diragukan,136
Masak APBN udah defisit..masih aja ngotot bikin kereta cepat sampe Banyuwangi. Pakai duit apaan ?  Uang monopoli ? <br>😂😂😂,122
Penting sekali sehingga pulau Jawa punya kereta cepat dari ujung Barat sampai ujung Timur berikutnya jembatan Jawa Bali harus dibangun juga 😂😂😂,143
Ya bagus lah setiap tikungan jalan 20km klw kenceng kenceng  g perlu,68
LRT Jabodetabek 🙃,17
kira kira bisa direnov ga ya? wkwk,34
Mungkin waktu itu pikirannya lagi miring,40
gitu lah di pimpin sama orang ga ada ijazah😂,44
Apa- apa wajarr,15
di bahas itu melulu apa tidak membosankan cari info  yang terkini admin,71
"Saking lebarnya jalan tol + jalan biasa, perlu desain jembatan tanpa tiang ditengah2, kalo jembatan dengan belokan sudut melandai akan menambah panjang jembatan...",163
"Wong cilik yen komentar,, yoben&quot;",37
"Ini bukan salah DESAIN ADMIN<br>Itu yg disebut bahasa  teknik sipil :<br><br>1. Curved Elevated guideway design without piers, or<br>2. Curved elevated rail design without piers, or<br>3. Unsupported curved elevated railway design..<br><br>dan desain ini ada tujuannya yaa....<br><br>Ini berbicara safety speed barrier yg mesti dilakukan<br>Saat akan memasuki tikungan karena efek beban <br>dan getaran rambat pada struktur bangunan rel keretanya<br>Juga agar bangunan tsb awet tahan lama.<br>Memiringkan rel di belokan tidak selalu berarti harus lebih cepat<br>Kalau daya tahan keawetan bangunan jadi lebih pendek masanya<br><br>Tinggal mana yg diutamakan.<br>Misal: kecepatan berbelok 50 kph utk masa bangunan 30 th<br>  atau kecepatan 20 kph utk masa 50 th<br>Semoga Admin paham yaa.<br>Maaf dan salam anak negeri.",817
"Kalo ngak roboh dan bisa di lewati itu bukan kesalahan <br>Tapi keterpaksaan harus seperti itu<br>Karena realita di lapangan itu desain,kontruksi,perencanaan harus menyesuaikan fakta di lapangan<br>Ingat bangun nya bukan di tanah kosong",236
"32,5 T ?? 😮😮 Jarak cuman sedekat itu sampe trilyunan ?? Coba diaudit sama KPK",77
Rehab dong. Proyek lagi.,24
"Ada yang bilang lengkung jembatan dirancang untuk LRT lebar sepur 1067mm, tapi karena ego sektoral LRT JABODEBEK malah pakai sepur standar 1435 mm yang terkenal payah di radius kecil.",183
Emang pas tikungan mau ngebut apa....Pasti pelan pelan lah..dan bisa d ambil video..atw foto pas kereta lewat,109
Salah pengurusan....uangnya banyak di KORUPSI....,49
"Terkait tikungan, karena keterbatasan lahan. Mirip dengan exit tol Bintaro (BXC) yang ketat dan simpang krapyak disemarang, yaitu jalur tol dari transjawa arah solo, tikungannya juga ketat karena keterbatasan lahan (dikiri kanan bukit dan sungai)<br><br>Terkait kemiringan, semoga karena alasan teknis bukan karena sepwrti kasus MBZ.  😁",336
"Pertama kali apaan ..!!! Di Palembang juga begitu, ada tikungan selalu bunyi berderit dgn keras, saya kurang paham di daerah mana, tapi beberapa kali naik LRT Palembang selalu begitu",182
gampang itu benrrinnya.  tinggal naiki pajak .. beres,53
"pekerja tinggal nurut aja apa kata atasan,klo ga gitu ga keluar lgi duitnya,apa sih yg ga bisa di konoha.<br>konoha gitu loh,ingat desain udah bener 100% tapi akan berubah jika sudah berada di lapangan,contohnya desain nyuruhnya 10cm tapi atasan mintanya 5cm ya pekerja mau ga mau ya harus nurut😅😅.",298
"Sebenernya radius tikungannya masih luas, dengan panjang tiap kereta yang cuma segitu bukannya bisa lebih tinggi ya kecepatannya, misal 40km/jam gitu",149
"Wakil Menteri brisik.. Cumn sedikit dan tdk terlalu mengganggu waktu juga, Yg penting ttp aman dan berjalan lancar",114
"Tp itu bukan hanya lrt jakarta yg begitu ,monorail kuala lumpur dr jln Sultan ismail ada lengkungan tajam menuju arah chow kit, disitu monorail nya diperlambat 80% dr kecepatan standarnya",187
"Kalau benar, artinya amatir",27
"Mana ada Kereta berbelok harus dengan kecepatan 80 KILOMETER/PER JAM, bisa bisa keluar Jalur kalau ngotot belok dengan kecepatan segitu.<br>KAMU YANG GO BLOCK SOK PINTER.",170
Keretanya  cepet rusak,22
"Kalau salah desain kalau layak pakai mungkin tak apa asal kontruksi dan bahan material berkwalitas tidak asal,  bukan sudut kemiringan tapi kurang  lebar,",154
Pada takut di KPK kan,21
Seperti penonton sepak bola yg merasa lebih pinter dari pemainnya. Ngga mutu.,77
Wadidaw 😨😱!,11
"Ya gak apa²lah melambat di tikungan. Udah sewajarnya setiap kendaraan sekencang apapun wajib melambat di tikungan. Apalagi LRT ini adalah transportasi massal, keselamatan penumpang adalah yg utama. Bagi saya, melambatnya LRT di tikungan jadi momen yang tepat untuk menikmati pemandangan matahari terbenam di balik siluet gedung² perkantoran sambil mengabadikannya dgn foto maupun video. 😊",388
"Dia Gak kerja bermasalah,<br>Dia kerja malah nambah masalah.",60
Begini.yang tidak membuat kesalahan itu yang tidak berbuat apa apa.,67
Secara keseluruhan lebih cepat dari pakai mobil sendiri. Bukan masalah besar.,77
Jangankan LRT... jalan tol saja kalau tikungan ga dibuat sesuai desain makanya banyak kecelakaan karena gaya sentrifugal kendaraan terlalu besar saat belokan dan kemiringan kurang.. <br>Bedanya LRT kecepatannya diprogram jadi aman aman saja... kalau di tol seenak pusernya yang nyetir..😂😂😂,289
Dasar Jokowi presiden terburuk.... Selalu menormalisasikan program kerjanya yang bermasalah,91
Duit ny jadi bengkak blog,25
Prediksi kadang sulit saat dieksekusi,37
terus ? lebih tidak membangun gitu ? susah klo msih mental2 jaman SBY 😅,71
Hoax nih channel.,17
yg bego ya jokowi insinyur palsu,32
Admin criwis,12
P jakowi tetap yg lebih baik,28
mantap kali..😂😂,15
mau nge counter narasi admin tp Alhamdulillah udah banyak nyg ngejelasin.,73
pantesan kalau pas belok ini kereta LRT bunyinya nyaring sekali 😢,65
"Benar salah sdh lumrah,",23
Negara konoha kebanyakan micin wakaka,37
makanya LRT kalo lewat situ gesekan rodanya terasa nyaring sekali,65
Wajar kayak jalan aja kalo ditikungan pasti kita bawa mobil diperlambat kecepatannya bu,87
Kereta cepet belokan tajam banget 😂😂 cuma dikonoha doang,56
&quot;Ini adalah pertama kali Indonesia membangun LRT&quot;<br><br>LRT Palembang dan LRT Jakarta (Velodrome - Kelapa Gading): kita ga dianggep 😥😭,145
Stupid statement dr Jokowi dia pikir lg bikin trek tamiya apa,61
"Kalo menurut saya ini bukan salah design sih, ini sama seperti customer cuman punya lahan 1 are ya arsiteknya buat design sesuai permintaan yg lahan cuman 1 are",160
Jg berita itu yg di dengungkan tapi berita insinyur indonesia yg bisa ngerjain itu belokan cuma insinyur putri indonesia yg hanya bisa ngerjain...,146
Sepertinya kurang kordinasi antara ahli jembatan melengkung dg karakter kereta..bisa mulai pikirkan solusinya..,111
"Ngomu,  ini yg desain insinyur wanita indonesia yg dapat penghargaan loh... <br>Ud di jelaskan juga ini pertama x buat bahkan desain pertama di dunia yg melengkung tanpa struktur tengah,  jago loh ini sbenernya, anak2 sipil pasti tau susah ny... <br><br>Jangan semua di kontenin seolah2 negatif donk...",302
Admin ini ketinggalan,21
Lebih baik dari pada proyek2 yg mangkrak😅,41
narasi ngaco..,14
🤣🤣🤣🤣,4
"Sebenernya ada yang aneh, masalah utama ini adalah sebenernya karena dipaksain stasiunnya di dukuh atas, coba dilurusin sampe ke palmerah, ga butuh pusing bikin belokan 😂. Dan sekarang terbukti, kalo lu berangkat pagi naik LRT, hampir 80% penumpang turun di stasiun pancoran, karena yang mayoritas tujuannya ke gatsu daerah telkom, wisma mulia,  sudirman daerah scbd, bukan ke kuningan dan dukuh atas. Anehnya malah dipaksain belok ke dukuh atas, padahal jalan Mt haryono gatsu itu kemacetan parah juga minimal sampe semanggi Dan palmerah/pejompongan. Jadi LRT ini selain bikin penumpang ribet harus transit TJ/gojek, juga ga mengurai kemacetan gatsu, juga bikin harus bikin belokan rumit. Aneh.",695
Wok wok penting cuan lah CUAAAANNN. Masa bodoh sama RAKYAT,58
Berita lama kok muncul lg sih padah sebelumnya gk searching2 berita masalah transportasi,88
"brisik lu, emang lu bisa bikin yang lebih bagus?😂😂😂😂",52
"Ya nikmati saja, sambil menikmati view yang bagus di lengkungan itu",67
Halah bumn bumn 🤦‍♂️,20
"Basi lah...di goreng goreng...emang kalau nikung kecepatannya Turun sampai 20 km/jam Salah...? Itu Kan tikungan....dimanamana juga harus nurunin kecepatan.....terus kalau Tanya fisik, kemana tim perencana saat membangun kemarin....? Sekarang nikmati saja hasilnya....",267
Korupsi,7
&quot;wajar kalo beda perbedaan&quot; ucap pria solo itu😂😂,58
Ceroboh ²,9
Konsultannya siapa masak BG trafik salah,40
"klo Lengkong LRT salah , ya nanti klo bikin jalur LRT yg baru klo terdapat lengkung..yg mengatakan salah agar membuat lengkung jalur LRT yg benar..jadi koreksi dicontoh yg bener.,..jgn cuma omong aja...",202
Basi lu.. Jadi wamen cuma cari sensasi aja,42
Lucu 😂😂,7
udah bahas finance ajah !!! lu diketawain anak sipil 😂😂😂😂😂,58
Kalau di jepang hampir nyaris gk ada kesalahan desain kayak gini,64
Jokowi itu tukang kayu. Jadi wajar kalau<br>1- pintar NGELES<br>2- tidak tau konsruksi JEMBATAN dari BETON,106
😂😂😂😂😂 lagi ketahuan...,22
